201,3542.76,690.38,41.88999999999990,100.56000000000000,3462.97,540.9,22.79000000000040,49.610000000000000,4065.55,784.91,49.60999999999970,113.92000000000000,4197.12,734.93,43.09000000000020,96.59000000000010,3821.53,634.98,40.52999999999980,67.64000000000000,3902.36,581.01,25.08999999999970,59.85000000000000,4037.21,563.07,31.34999999999990,47.319999999999900,4250.73,630.17,44.93000000000030,72.75,3860.62,516.43,19.20000000000030,37.770000000000100,3589.37,505.9,17.559999999999900,34.04000000000010,4035.45,852.95,67.59000000000020,109.94000000000000,3974.34,829.32,57.7199999999998,122.66000000000000,3680.99,675.32,46.34000000000020,81.08999999999990,4114.83,607.7,38.61999999999990,69.06999999999990,3451.79,647.27,42.65000000000010,78.63,2947.38,688.92,46.82999999999990,91.40000000000010,3236.08,544.45,27.95000000000030,48.57999999999990,3438.34,509.07,20.42999999999980,36.53000000000000,3768.86,550.96,22.73999999999980,49.059999999999900,2774.5,532.62,26.76000000000020,42.24000000000000,3685.5407344632800,979.9952542372880,21.0,16.232598870056500,3981.47,556.7,21.5,45.5,4380.35,554.07,19.25999999999930,42.80000000000000
202,3541.54,689.37,41.88999999999990,100.55000000000000,3463.63,540.94,22.790000000000000,49.6099999999999,4071.51,783.42,49.60999999999970,113.93000000000000,4198.46,734.47,43.10000000000040,96.58999999999990,3823.05,634.99,40.54000000000000,67.64000000000000,3902.41,580.88,25.100000000000400,59.85000000000000,4037.72,563.18,31.360000000000100,47.31000000000010,4251.0,630.12,44.9399999999996,72.76000000000000,3862.02,516.51,19.19999999999980,37.77000000000000,3589.85,506.0,17.559999999999900,34.040000000000000,4032.32,854.14,67.58999999999970,109.95000000000000,3978.86,828.92,57.87999999999970,122.98000000000000,3679.05,674.77,46.32999999999990,81.08000000000000,4115.37,607.85,38.65000000000060,69.18999999999990,3451.28,645.82,42.4699999999998,78.89000000000000,2945.88,689.11,46.82999999999990,91.40000000000000,3235.14,544.53,27.95000000000030,48.59000000000000,3438.65,509.01,20.42999999999980,36.53000000000000,3769.55,550.96,22.73999999999980,49.069999999999900,2774.61,532.65,26.759999999999800,42.24000000000000,3684.6321468926600,979.9330508474580,21.0,16.214519774011300,3981.79,556.68,21.5,45.5,4380.54,554.06,19.26000000000020,42.79000000000010
203,3540.31,688.35,41.88999999999990,100.56000000000000,3464.3,540.97,22.790000000000000,49.610000000000000,4077.47,781.94,49.61000000000010,113.92000000000000,4199.81,734.02,43.08999999999920,96.59000000000010,3824.58,634.99,40.54000000000000,67.64000000000000,3902.46,580.75,25.09999999999990,59.85000000000000,4038.24,563.28,31.350000000000400,47.32000000000010,4251.28,630.08,44.94000000000050,72.76000000000000,3863.42,516.6,19.19999999999980,37.77000000000000,3590.34,506.11,17.559999999999900,34.040000000000000,4029.18,855.34,67.59999999999990,109.94000000000000,3983.38,828.53,58.04000000000000,123.28000000000000,3677.1,674.21,46.34000000000020,81.08999999999990,4115.92,608.0,38.67000000000010,69.32000000000010,3450.76,644.36,42.29999999999970,79.15000000000000,2944.38,689.3,46.82999999999990,91.40000000000010,3234.19,544.61,27.94999999999980,48.59000000000000,3438.95,508.96,20.43000000000030,36.53000000000000,3770.24,550.96,22.73000000000000,49.069999999999900,2774.71,532.67,26.759999999999800,42.24000000000000,3683.723559322030,979.8708474576270,21.0,16.19644067796610,3982.11,556.66,21.5,45.51000000000000,4380.74,554.04,19.26000000000020,42.80000000000010
204,3539.09,687.34,41.88999999999990,100.55000000000000,3464.96,541.01,22.790000000000000,49.610000000000000,4083.43,780.45,49.61000000000010,113.93000000000000,4201.15,733.56,43.10000000000040,96.59000000000010,3826.11,635.0,40.54000000000000,67.64000000000000,3902.52,580.62,25.090000000000100,59.85000000000000,4038.75,563.39,31.360000000000100,47.31000000000010,4251.56,630.04,44.9399999999996,72.76000000000000,3864.82,516.69,19.19000000000010,37.77000000000000,3590.82,506.21,17.559999999999900,34.04000000000000,4026.05,856.54,67.58999999999970,109.94000000000000,3987.89,828.13,58.21000000000000,123.60000000000000,3675.16,673.66,46.32999999999990,81.09000000000000,4116.47,608.14,38.6899999999996,69.45000000000010,3450.25,642.91,42.13000000000010,79.40000000000000,2942.88,689.49,46.82999999999990,91.40000000000000,3233.25,544.69,27.94999999999980,48.58999999999990,3439.26,508.9,20.42999999999980,36.53000000000000,3770.93,550.97,22.73000000000000,49.059999999999900,2774.81,532.7,26.76000000000020,42.24000000000000,3682.8149717514100,979.8086440677970,21.0,16.178361581920900,3982.43,556.64,21.5,45.51000000000000,4380.93,554.03,19.25999999999930,42.80000000000010
205,3537.86,686.33,41.88999999999990,100.55000000000000,3465.63,541.05,22.790000000000000,49.60000000000000,4089.4,778.96,49.59999999999990,113.93000000000000,4202.5,733.1,43.09000000000020,96.59000000000010,3827.64,635.0,40.5300000000002,67.64000000000000,3902.57,580.49,25.09999999999990,59.85000000000000,4039.27,563.5,31.34999999999990,47.309999999999900,4251.84,630.0,44.9399999999996,72.76000000000000,3866.22,516.78,19.19000000000010,37.77000000000000,3591.31,506.32,17.559999999999900,34.04000000000000,4022.92,857.73,67.59000000000020,109.94000000000000,3992.41,827.73,58.370000000000300,123.92000000000000,3673.21,673.1,46.34000000000020,81.09000000000000,4117.01,608.29,38.71999999999940,69.58000000000000,3449.74,641.45,41.95000000000030,79.66000000000000,2941.38,689.67,46.82999999999990,91.41000000000010,3232.31,544.77,27.95000000000030,48.59000000000000,3439.56,508.85,20.42999999999980,36.53000000000000,3771.61,550.97,22.73999999999980,49.059999999999900,2774.92,532.73,26.759999999999800,42.24000000000000,3681.906384180790,979.746440677966,21.0,16.160282485875700,3982.75,556.62,21.5,45.51000000000000,4381.13,554.02,19.26000000000020,42.80000000000010
206,3536.64,685.31,41.89000000000030,100.56000000000000,3466.29,541.08,22.790000000000000,49.610000000000000,4095.36,777.48,49.59999999999990,113.92000000000000,4203.84,732.65,43.099999999999500,96.59000000000010,3829.17,635.0,40.52999999999980,67.65000000000000,3902.62,580.37,25.09999999999990,59.84000000000000,4039.79,563.6,31.34999999999990,47.319999999999900,4252.12,629.96,44.93000000000030,72.76000000000000,3867.62,516.87,19.19000000000010,37.77000000000000,3591.79,506.42,17.559999999999900,34.05000000000000,4019.78,858.93,67.59999999999990,109.94000000000000,3996.92,827.33,58.54000000000000,124.24,3671.27,672.55,46.32999999999990,81.09000000000000,4117.56,608.44,38.73999999999980,69.69999999999990,3449.23,640.0,41.77000000000000,79.91000000000000,2939.87,689.86,46.82999999999990,91.41000000000000,3231.37,544.86,27.95000000000030,48.58000000000000,3439.87,508.79,20.43000000000030,36.54000000000000,3772.3,550.97,22.73000000000000,49.069999999999900,2775.02,532.75,26.76000000000020,42.24000000000000,3680.9977966101700,979.6842372881360,21.0,16.142203389830500,3983.07,556.6,21.5,45.51000000000000,4381.32,554.01,19.26000000000020,42.79000000000000
207,3535.42,684.3,41.88999999999990,100.55000000000000,3466.96,541.12,22.790000000000000,49.60000000000000,4100.46,777.13,49.60999999999970,113.92000000000000,4205.19,732.19,43.09000000000020,96.58999999999990,3830.7,635.01,40.5300000000002,67.64000000000000,3902.68,580.24,25.100000000000400,59.85000000000000,4040.3,563.71,31.35999999999970,47.309999999999900,4252.4,629.92,44.93000000000030,72.76000000000000,3869.02,516.96,19.19000000000010,37.77000000000000,3592.28,506.53,17.559999999999900,34.04000000000010,4016.65,860.12,67.58999999999970,109.95000000000000,4001.44,826.94,58.69999999999980,124.55000000000000,3669.32,672.0,46.33999999999970,81.08000000000000,4118.1,608.59,38.75999999999930,69.82999999999990,3449.87,639.16,41.57999999999990,79.58000000000000,2938.37,690.05,46.82999999999990,91.41000000000010,3230.43,544.94,27.95000000000030,48.57999999999990,3440.17,508.74,20.42999999999980,36.53000000000000,3772.99,550.97,22.73000000000000,49.069999999999900,2775.13,532.78,26.759999999999800,42.24000000000000,3680.089209039550,979.6220338983050,21.0,16.12412429378530,3983.39,556.58,21.5,45.51000000000000,4381.52,553.99,19.25999999999930,42.80000000000000
208,3534.19,683.28,41.88999999999990,100.56000000000000,3467.62,541.15,22.790000000000000,49.610000000000000,4105.56,776.77,49.60999999999970,113.93000000000000,4206.53,731.73,43.10000000000040,96.60000000000000,3832.23,635.01,40.5300000000002,67.64000000000000,3902.73,580.11,25.09999999999990,59.85000000000000,4040.82,563.81,31.34999999999990,47.32000000000010,4252.67,629.88,44.9399999999996,72.75,3870.42,517.05,19.19000000000010,37.770000000000100,3592.76,506.64,17.559999999999900,34.040000000000000,4013.52,861.32,67.59000000000020,109.94000000000000,4005.96,826.54,58.84999999999990,124.87,3667.38,671.44,46.32999999999990,81.08999999999990,4118.65,608.73,38.780000000000700,69.96000000000000,3450.51,638.32,41.37999999999970,79.2399999999999,2936.87,690.24,46.82999999999990,91.41000000000000,3229.49,545.02,27.94000000000010,48.59000000000000,3440.48,508.69,20.42999999999980,36.53000000000000,3773.68,550.98,22.73000000000000,49.059999999999900,2775.23,532.81,26.759999999999800,42.24000000000000,3679.180621468930,979.5598305084750,21.0,16.106045197740100,3983.71,556.56,21.5,45.510000000000100,4381.71,553.98,19.26000000000020,42.80000000000000
209,3532.97,682.27,41.89000000000030,100.55000000000000,3468.28,541.19,22.799999999999700,49.59999999999990,4110.67,776.42,49.60000000000040,113.93000000000000,4206.89,731.73,43.099999999999500,96.60000000000000,3833.76,635.02,40.52999999999980,67.64000000000000,3902.79,579.98,25.090000000000100,59.85000000000000,4041.33,563.92,31.360000000000100,47.31000000000010,4252.95,629.84,44.94000000000050,72.75,3871.81,517.14,19.20000000000030,37.76000000000000,3593.25,506.74,17.559999999999900,34.040000000000000,4010.38,862.51,67.59999999999990,109.95000000000000,4010.47,826.14,59.02000000000000,125.18000000000000,3665.43,670.89,46.34000000000020,81.09000000000000,4119.2,608.88,38.80000000000020,70.08000000000000,3451.15,637.48,41.190000000000100,78.90000000000000,2935.37,690.43,46.82999999999990,91.41000000000010,3228.54,545.1,27.94999999999980,48.59000000000000,3440.78,508.63,20.4399999999996,36.53000000000000,3774.36,550.98,22.73999999999980,49.069999999999900,2775.33,532.84,26.76000000000020,42.24000000000000,3678.2720338983100,979.497627118644,21.0,16.087966101694900,3984.04,556.55,21.49000000000020,45.5,4381.91,553.97,19.26000000000020,42.80000000000000
210,3531.74,681.25,41.89000000000030,100.56000000000000,3468.95,541.22,22.790000000000000,49.610000000000000,4115.77,776.07,49.60999999999970,113.93000000000000,4207.25,731.73,43.10000000000040,96.60000000000000,3835.29,635.02,40.5300000000002,67.64000000000000,3902.84,579.85,25.09999999999990,59.85000000000000,4041.85,564.03,31.34999999999990,47.31000000000010,4253.71,629.84,44.93000000000030,72.75,3873.21,517.22,19.19999999999980,37.77000000000000,3593.73,506.85,17.559999999999900,34.040000000000000,4007.25,863.71,67.59000000000020,109.94000000000000,4014.99,825.74,59.18000000000030,125.5,3663.49,670.34,46.33000000000040,81.07999999999990,4119.74,609.03,38.82999999999990,70.21000000000000,3451.8,636.64,40.98000000000000,78.56000000000010,2933.87,690.62,46.82999999999990,91.41000000000000,3227.6,545.18,27.95000000000030,48.59000000000000,3441.09,508.58,20.42999999999980,36.53000000000000,3775.05,550.98,22.73000000000000,49.069999999999900,2775.44,532.86,26.759999999999800,42.24000000000000,3677.3634463276800,979.4354237288140,21.0,16.06988700564970,3984.33,556.63,21.5,45.5,4382.1,553.96,19.25999999999930,42.79000000000000
211,3530.52,680.24,41.88999999999990,100.55000000000000,3469.61,541.26,22.799999999999700,49.60000000000000,4120.87,775.72,49.60999999999970,113.93000000000000,4207.61,731.73,43.10000000000040,96.60000000000000,3836.82,635.03,40.52999999999980,67.64000000000000,3902.89,579.72,25.09999999999990,59.85000000000000,4042.37,564.13,31.34999999999990,47.32000000000010,4254.46,629.84,44.9399999999996,72.75,3874.61,517.31,19.19999999999980,37.770000000000100,3594.22,506.95,17.5600000000004,34.04000000000000,4004.12,864.9,67.59000000000020,109.95000000000000,4019.51,825.35,59.33999999999970,125.81000000000000,3661.54,669.78,46.34000000000020,81.09000000000000,4120.29,609.18,38.85000000000040,70.33000000000000,3452.44,635.8,40.79000000000000,78.22000000000000,2932.36,690.81,46.83999999999970,91.41000000000010,3226.66,545.26,27.95000000000030,48.59000000000000,3441.39,508.52,20.44000000000010,36.53000000000000,3775.74,550.98,22.73000000000000,49.069999999999900,2775.54,532.89,26.76000000000020,42.24000000000000,3676.454858757060,979.3732203389830,21.0,16.05180790960450,3984.62,556.7,21.5,45.51000000000000,4382.3,553.94,19.26000000000020,42.80000000000000
212,3529.3,679.22,41.88999999999990,100.56000000000000,3470.28,541.29,22.790000000000000,49.610000000000000,4125.97,775.37,49.60999999999970,113.92000000000000,4207.97,731.73,43.099999999999500,96.60000000000000,3838.35,635.03,40.5300000000002,67.64000000000000,3902.95,579.59,25.090000000000100,59.85000000000000,4043.64,564.24,31.360000000000100,47.309999999999900,4255.21,629.84,44.9399999999996,72.75,3876.01,517.4,19.19999999999980,37.77000000000000,3594.7,507.06,17.5600000000004,34.04000000000000,4000.98,866.1,67.59000000000020,109.94000000000000,4024.02,824.95,59.51000000000020,126.13,3659.6,669.23,46.32999999999990,81.09000000000000,4120.83,609.32,38.88000000000010,70.46999999999990,3453.08,634.96,40.59000000000020,77.89000000000000,2930.86,691.0,46.82999999999990,91.41000000000000,3225.72,545.35,27.95000000000030,48.57999999999990,3441.7,508.47,20.43000000000030,36.53000000000000,3776.42,550.99,22.73999999999980,49.059999999999900,2775.65,532.92,26.759999999999800,42.24000000000000,3675.5462711864400,979.3110169491530,21.0,16.033728813559300,3984.91,556.78,21.5,45.51000000000000,4382.49,553.93,19.26000000000020,42.80000000000010
213,3528.07,678.21,41.88999999999990,100.55000000000000,3470.94,541.33,22.790000000000000,49.59999999999990,4131.08,775.02,49.60000000000040,113.92000000000000,4208.33,731.73,43.10000000000040,96.60000000000000,3839.88,635.04,40.52999999999980,67.64000000000000,3903.0,579.46,25.09999999999990,59.84999999999990,4044.92,564.34,31.34999999999990,47.319999999999900,4255.96,629.84,44.9399999999996,72.75,3877.41,517.49,19.19000000000010,37.77000000000000,3595.19,507.16,17.559999999999900,34.04000000000000,3997.85,867.29,67.59000000000020,109.95000000000000,4028.54,824.55,59.67000000000010,126.45000000000000,3657.65,668.68,46.33999999999970,81.08000000000000,4121.38,609.47,38.89999999999960,70.58999999999990,3453.72,634.12,40.40000000000010,77.55000000000000,2929.36,691.19,46.82999999999990,91.41000000000000,3224.78,545.43,27.9399999999996,48.59000000000000,3442.0,508.41,20.44000000000010,36.54000000000000,3777.11,550.99,22.73000000000000,49.069999999999900,2775.75,532.95,26.76000000000020,42.24000000000000,3674.6376836158200,979.248813559322,21.0,16.015649717514100,3985.21,556.86,21.5,45.51000000000000,4382.69,553.92,19.26000000000020,42.80000000000010
214,3526.85,677.19,41.88999999999990,100.56000000000000,3471.61,541.36,22.790000000000000,49.610000000000000,4136.18,774.67,49.60999999999970,113.92000000000000,4208.69,731.73,43.10000000000040,96.60000000000000,3841.4,635.04,40.54000000000000,67.64000000000000,3903.05,579.33,25.09999999999990,59.84999999999990,4046.19,564.45,31.360000000000100,47.309999999999900,4256.72,629.84,44.92999999999940,72.75,3878.81,517.58,19.19000000000010,37.77000000000000,3595.67,507.27,17.559999999999900,34.040000000000000,3994.71,868.49,67.59999999999990,109.94000000000000,4033.05,824.15,59.83999999999970,126.76,3655.71,668.12,46.32999999999990,81.09000000000000,4121.93,609.62,38.92000000000010,70.72000000000000,3454.36,633.28,40.19999999999980,77.21000000000000,2927.86,691.38,46.82999999999990,91.41000000000000,3223.83,545.51,27.95000000000030,48.59000000000000,3442.31,508.36,20.42999999999980,36.53000000000000,3777.14,550.98,22.73000000000000,49.069999999999900,2775.85,532.97,26.76000000000020,42.24000000000000,3673.729096045200,979.1866101694920,21.0,15.997570621468900,3985.5,556.94,21.5,45.51000000000000,4382.88,553.91,19.26000000000020,42.79000000000010
215,3525.62,676.18,41.89000000000030,100.55000000000000,3472.27,541.4,22.790000000000000,49.60000000000000,4141.28,774.31,49.61000000000060,113.93000000000000,4209.05,731.73,43.099999999999500,96.60000000000000,3842.93,635.05,40.54000000000000,67.6400000000001,3903.11,579.2,25.09999999999990,59.84999999999990,4047.47,564.56,31.360000000000100,47.31000000000010,4257.47,629.84,44.9399999999996,72.75,3880.21,517.67,19.19000000000010,37.770000000000100,3596.16,507.37,17.550000000000200,34.040000000000000,3991.58,869.68,67.59000000000020,109.95000000000000,4037.57,823.76,59.999999999999500,127.07000000000000,3653.76,667.57,46.33999999999970,81.08999999999990,4122.47,609.77,38.94999999999980,70.84000000000000,3455.0,632.44,40.01000000000020,76.86999999999990,2926.36,691.57,46.82999999999990,91.41000000000000,3222.89,545.59,27.95000000000030,48.58999999999990,3442.61,508.31,20.44000000000010,36.53000000000000,3777.17,550.97,22.73000000000000,49.069999999999900,2775.96,533.0,26.759999999999800,42.24000000000000,3672.8205084745800,979.124406779661,21.0,15.979491525423700,3985.79,557.02,21.5,45.51000000000000,4383.08,553.89,19.26000000000020,42.80000000000010
216,3524.4,675.17,41.88999999999990,100.55000000000000,3472.94,541.43,22.790000000000000,49.610000000000000,4146.39,773.96,49.599999999999500,113.93000000000000,4209.41,731.73,43.10000000000040,96.60000000000000,3844.46,635.05,40.54000000000000,67.6400000000001,3903.16,579.08,25.100000000000400,59.84999999999990,4048.75,564.66,31.34999999999990,47.31000000000010,4258.22,629.84,44.9399999999996,72.75,3881.61,517.76,19.19000000000010,37.77000000000000,3596.64,507.48,17.559999999999900,34.040000000000000,3988.45,870.88,67.59000000000020,109.94000000000000,4042.09,823.36,60.14999999999960,127.39,3651.82,667.02,46.32999999999990,81.08000000000000,4123.02,609.91,38.96999999999940,70.98000000000000,3455.64,631.6,39.809999999999900,76.53000000000000,2924.86,691.76,46.82999999999990,91.41000000000000,3221.95,545.67,27.95000000000030,48.59000000000000,3442.92,508.25,20.42999999999980,36.53000000000000,3777.19,550.96,22.73999999999980,49.069999999999900,2776.06,533.03,26.76000000000020,42.24000000000000,3671.911920903960,979.0622033898300,21.0,15.961412429378500,3986.09,557.1,21.5,45.51000000000000,4384.82,553.8,19.26000000000020,42.80000000000010
217,3523.18,674.15,41.89000000000030,100.55000000000000,3473.6,541.47,22.790000000000000,49.610000000000000,4151.49,773.61,49.60000000000040,113.93000000000000,4209.77,731.73,43.099999999999500,96.60000000000000,3845.99,635.06,40.5300000000002,67.6400000000001,3903.21,578.95,25.09999999999990,59.84999999999990,4050.02,564.77,31.360000000000100,47.31000000000010,4258.97,629.84,44.9399999999996,72.75,3883.01,517.84,19.1899999999996,37.77000000000000,3597.13,507.58,17.549999999999700,34.04000000000000,3985.31,872.07,67.59999999999990,109.95000000000000,4046.6,822.96,60.32000000000020,127.71000000000000,3649.87,666.46,46.34000000000020,81.08999999999990,4123.57,610.06,38.99000000000070,71.10000000000000,3456.28,630.76,39.61999999999990,76.20000000000010,2923.35,691.95,46.82999999999990,91.41000000000000,3221.01,545.76,27.94999999999980,48.58000000000000,3443.23,508.2,20.42999999999980,36.53000000000000,3777.22,550.95,22.73000000000000,49.069999999999900,2776.17,533.05,26.759999999999800,42.24000000000000,3671.0033333333300,979.0,21.0,15.943333333333300,3986.38,557.18,21.5,45.510000000000100,4386.56,553.71,19.25999999999930,42.80000000000000
218,3521.95,673.14,41.89000000000030,100.55000000000000,3474.27,541.5,22.790000000000000,49.610000000000000,4156.59,773.26,49.60999999999970,113.93000000000000,4210.13,731.73,43.099999999999500,96.60000000000000,3847.52,635.06,40.5300000000002,67.6400000000001,3903.27,578.82,25.09999999999990,59.84999999999990,4051.3,564.87,31.34999999999990,47.32000000000010,4259.73,629.84,44.93000000000030,72.75,3884.4,517.93,19.19999999999980,37.770000000000100,3597.61,507.69,17.559999999999900,34.04000000000000,3982.18,873.27,67.59000000000020,109.94000000000000,4051.12,822.57,60.48000000000050,128.02000000000000,3647.93,665.91,46.33000000000040,81.09000000000000,4124.11,610.21,39.02000000000040,71.23000000000000,3456.92,629.92,39.42000000000010,75.86000000000000,2921.85,692.14,46.82999999999990,91.41000000000000,3220.07,545.84,27.94999999999980,48.58999999999990,3443.53,508.14,20.42999999999980,36.53000000000000,3777.25,550.94,22.73000000000000,49.069999999999900,2776.27,533.08,26.76000000000020,42.24000000000000,3670.094745762710,978.9377966101700,21.0,15.925254237288100,3986.67,557.26,21.5,45.5,4388.3,553.62,19.26000000000020,42.80000000000000
219,3520.73,672.12,41.88999999999990,100.56000000000000,3474.93,541.54,22.790000000000000,49.610000000000000,4161.69,772.91,49.61000000000060,113.93000000000000,4210.49,731.73,43.10000000000040,96.60000000000000,3849.05,635.07,40.52999999999980,67.64000000000000,3903.32,578.69,25.09999999999990,59.84999999999990,4052.58,564.98,31.34999999999990,47.309999999999900,4260.48,629.84,44.94000000000050,72.75,3885.8,518.02,19.19999999999980,37.77000000000000,3598.1,507.79,17.550000000000200,34.05000000000000,3979.05,874.46,67.58999999999970,109.95000000000000,4055.64,822.17,60.63999999999990,128.34000000000000,3645.98,665.36,46.34000000000020,81.08000000000000,4124.66,610.36,39.04000000000000,71.35000000000000,3457.56,629.08,39.23000000000000,75.52000000000000,2920.35,692.33,46.82999999999990,91.41000000000000,3219.58,545.78,27.95000000000030,48.58000000000000,3443.84,508.09,20.42999999999980,36.53000000000000,3777.27,550.93,22.74000000000020,49.07000000000010,2776.37,533.11,26.76000000000020,42.24000000000000,3669.1861581920900,978.8755932203390,21.0,15.907175141243000,3986.97,557.34,21.5,45.5,4390.04,553.53,19.26000000000020,42.79000000000010
220,3519.5,671.11,41.88999999999990,100.55000000000000,3475.59,541.57,22.799999999999700,49.6099999999999,4166.8,772.56,49.599999999999500,113.92000000000000,4210.63,731.74,43.099999999999500,96.59000000000010,3850.58,635.07,40.5300000000002,67.64000000000000,3903.38,578.56,25.08999999999970,59.85000000000000,4053.85,565.08,31.360000000000100,47.319999999999900,4261.23,629.84,44.94000000000050,72.75,3887.2,518.11,19.20000000000030,37.77000000000000,3598.58,507.9,17.559999999999900,34.04000000000010,3974.14,878.11,67.59999999999990,107.86,4060.15,821.77,60.809999999999900,128.65000000000000,3644.04,664.8,46.32999999999990,81.09000000000000,4125.2,610.5,39.07000000000060,71.49000000000000,3458.2,628.24,39.0300000000002,75.18000000000000,2918.85,692.52,46.82999999999990,91.41000000000000,3219.09,545.71,27.94999999999980,48.58999999999990,3444.14,508.03,20.43000000000030,36.54000000000010,3777.3,550.92,22.73000000000000,49.07000000000010,2776.48,533.14,26.759999999999800,42.24000000000000,3668.277570621470,978.8133898305080,21.0,15.889096045197800,3987.26,557.42,21.5,45.5,4390.23,553.44,19.26000000000020,42.79000000000000
221,3518.28,670.09,41.88999999999990,100.56000000000000,3476.26,541.61,22.790000000000000,49.610000000000000,4171.9,772.21,49.61000000000060,113.92000000000000,4210.77,731.75,43.08999999999920,96.59000000000010,3852.11,635.08,40.52999999999980,67.64000000000000,3903.43,578.43,25.100000000000400,59.85000000000000,4055.13,565.19,31.34999999999990,47.309999999999900,4261.98,629.84,44.94000000000050,72.75,3888.6,518.2,19.20000000000030,37.77000000000000,3599.07,508.01,17.549999999999700,34.040000000000000,3969.24,881.75,67.59000000000020,105.78000000000000,4064.67,821.37,60.970000000000300,128.97000000000000,3642.09,664.25,46.33999999999970,81.09000000000000,4125.75,610.65,39.09000000000020,71.61000000000000,3458.84,627.4,38.83999999999970,74.84000000000000,2917.35,692.71,46.82999999999990,91.41000000000000,3218.61,545.65,27.94999999999980,48.59000000000000,3444.45,507.98,20.43000000000030,36.53000000000000,3777.33,550.91,22.73000000000000,49.06000000000010,2776.58,533.16,26.76000000000020,42.24000000000000,3667.3689830508500,978.7511864406780,21.0,15.871016949152600,3987.55,557.5,21.5,45.5,4390.42,553.34,19.26000000000020,42.80000000000000
222,3517.06,669.08,41.88999999999990,100.55000000000000,3476.92,541.64,22.799999999999700,49.610000000000000,4177.0,771.86,49.60999999999970,113.92000000000000,4210.9,731.76,43.10000000000040,96.59000000000010,3853.64,635.08,40.5300000000002,67.64000000000000,3903.48,578.3,25.09999999999990,59.85000000000000,4056.41,565.3,31.350000000000400,47.31000000000010,4262.74,629.84,44.93000000000030,72.75,3890.0,518.29,19.19000000000010,37.77000000000000,3599.55,508.11,17.559999999999900,34.040000000000000,3964.34,885.39,67.58999999999970,103.70000000000000,4069.18,820.98,61.13999999999990,129.28000000000000,3642.18,663.74,46.33000000000040,81.09000000000000,4126.3,610.8,39.10999999999970,71.74000000000000,3459.48,626.57,38.63999999999990,74.5,2915.84,692.9,46.83999999999970,91.41000000000000,3218.12,545.59,27.95000000000030,48.58999999999990,3444.75,507.93,20.44000000000010,36.53000000000000,3777.35,550.9,22.74000000000020,49.06000000000010,2776.69,533.19,26.759999999999800,42.239999999999900,3666.460395480230,978.6889830508480,21.0,15.85293785310740,3987.85,557.57,21.5,45.51000000000000,4390.61,553.25,19.26000000000020,42.80000000000000
223,3515.83,668.06,41.88999999999990,100.56000000000000,3477.59,541.68,22.790000000000000,49.610000000000000,4182.11,771.5,49.60000000000040,113.93000000000000,4211.04,731.76,43.10000000000040,96.60000000000000,3855.17,635.08,40.52999999999980,67.65000000000000,3903.54,578.17,25.09999999999990,59.85000000000000,4057.68,565.4,31.360000000000100,47.32000000000010,4263.49,629.84,44.94000000000050,72.75,3891.4,518.38,19.19000000000010,37.77000000000000,3600.04,508.22,17.550000000000200,34.040000000000000,3959.43,889.03,67.59000000000020,101.62,4073.7,820.58,61.29000000000000,129.6000000000000,3642.27,663.24,46.32999999999990,81.08000000000000,4126.84,610.95,39.13999999999940,71.8599999999999,3460.13,625.73,38.440000000000100,74.16000000000000,2914.34,693.09,46.82999999999990,91.41000000000000,3217.63,545.53,27.94999999999980,48.58000000000000,3445.06,507.87,20.42999999999980,36.53000000000000,3777.38,550.89,22.73000000000000,49.06000000000010,2776.79,533.22,26.76000000000020,42.24000000000000,3665.5518079096000,978.6267796610170,21.0,15.834858757062200,3988.14,557.65,21.5,45.51000000000000,4390.8,553.16,19.25,42.80000000000010
224,3514.61,667.05,41.88999999999990,100.55000000000000,3478.25,541.72,22.790000000000000,49.60000000000000,4187.21,771.15,49.60000000000040,113.93000000000000,4211.18,731.77,43.09000000000020,96.59000000000010,3856.7,635.09,40.5300000000002,67.64000000000000,3903.59,578.04,25.09999999999990,59.85000000000000,4058.96,565.51,31.34999999999990,47.31000000000010,4264.24,629.84,44.94000000000050,72.75,3892.8,518.46,19.1899999999996,37.77000000000000,3600.52,508.32,17.559999999999900,34.04000000000000,3954.53,892.67,67.58999999999970,99.53000000000010,4077.64,819.61,61.46000000000050,129.91000000000000,3642.35,662.73,46.34000000000020,81.09000000000000,4127.39,611.09,39.159999999999900,72.0,3460.77,624.89,38.24000000000020,73.82000000000010,2912.84,693.28,46.82999999999990,91.41000000000010,3217.15,545.46,27.94999999999980,48.58999999999990,3445.36,507.82,20.44000000000010,36.53000000000000,3777.41,550.88,22.73000000000000,49.06000000000010,2776.89,533.24,26.76000000000020,42.24000000000000,3664.643220338980,978.5645762711860,21.0,15.816779661017000,3988.43,557.73,21.5,45.51000000000000,4390.98,553.07,19.26000000000020,42.80000000000000
